dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;57,23;58,69;59,53;59,2;0,33;99,44
2;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;57,23;58,69;59,53;59,19;0,34;99,42
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;57,23;58,69;59,53;59,68;0,15;100,26
2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;57,23;58,69;59,53;59,19;0,34;99,43
2;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;57,23;58,69;59,53;59,2;0,33;99,44
2;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;57,23;58,69;59,53;59,19;0,34;99,42
2;524288;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;57,23;58,69;59,53;59,45;0,08;99,87
2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;57,23;58,69;59,53;59,19;0,34;99,43
2;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;57,23;58,69;59,53;59,2;0,33;99,44
2;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;57,23;58,69;59,53;59,19;0,34;99,43
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;57,23;58,69;59,53;59,68;0,15;100,26
2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;57,23;58,69;59,53;59,19;0,34;99,43
3;8192;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;57,35;57,95;58,69;57,8;0,89;98,48
3;512;0,0078125;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;57,35;57,95;58,69;57,69;1;98,29
3;1048576;0,00390625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;57,35;57,95;58,69;57,87;0,82;98,59
3;0,5;4;25;4;RAE;0;Linear;3;EPSILON_SVR;57,35;57,95;58,69;57,8;0,89;98,48
3;1048576;0,0000610352;25;1;RMSE;2;RBF;3;EPSILON_SVR;57,35;57,95;58,69;58,17;0,52;99,12
3;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;57,35;57,95;58,69;58,15;0,54;99,08
3;1048576;0,00390625;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;57,35;57,95;58,69;57,87;0,82;98,59
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;57,35;57,95;58,69;58,15;0,54;99,08
3;8192;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;57,35;57,95;58,69;57,8;0,89;98,48
3;16384;0,0002441406;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;57,35;57,95;58,69;57,72;0,97;98,34
3;1048576;0,00390625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;57,35;57,95;58,69;57,87;0,82;98,59
3;0,5;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;57,35;57,95;58,69;57,8;0,89;98,48
