% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 01/12/2014 through 01/12/2015, for AGRO3.SA.
% Time: Fri Apr 29 21:05:38 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 252 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
7.37,1,0,7.19,7.19,7.19,0,0,0,7.26,0,0,0,0,0,163200,-100,1,0,0,0,0,-100,1,0,2.73,2.73,2.73,2.73,0,0,0,2.73,0,0,0,0,0,100,0,1,0,0,0,0,0,7.5
7.5,0.96,1.3,7.38,7.28,7.29,0,0,106000,7.31,2.64,2801.11,0,30.65,61.29,106000,-38.71,1.01,1.3,0,2.64,0,-38.71,1.04,3.19,2.91,3.15,2.75,2.82,0,0,3000,2.75,6.59,197.8,0,0,42.86,3000,-57.14,1.34,3.19,0,6.59,0,-57.14,7.5
7.5,0.93,1.95,7.5,7.34,7.36,0,0,116100,7.41,4.31,2965.34,0,53.76,100,10100,0,1.02,1.95,0,4.31,0,0,1.04,3.19,2.91,3.15,2.75,2.82,0,0,3000,2.75,6.59,197.8,0,0,42.86,3000,-57.14,1.34,3.19,0,6.59,0,-57.14,7.5
7.5,0.9,0.95,7.45,7.42,7.38,0,0,111300,7.42,3.62,2933.34,86.11,81.72,83.87,4800,-16.13,1.03,0.95,0,3.62,86.11,-16.13,1.08,1.87,2.9,2.9,2.9,2.85,0,0,2000,2.9,6.23,194.37,94.74,0,40.48,1000,-59.52,1.63,1.87,0,6.23,94.74,-59.52,7.7
7.7,0.94,1.51,7.52,7.51,7.41,0,0,128800,7.51,4.59,3097.77,88.37,82.86,64.71,17500,-35.29,1.39,1.51,0,4.59,88.37,-35.29,1.08,1.87,2.9,2.9,2.9,2.85,0,0,2000,2.9,6.23,194.37,94.74,0,40.48,1000,-59.52,1.63,1.87,0,6.23,94.74,-59.52,7.73
7.73,0.93,1.03,7.5,7.4,7.47,0,0,118400,7.73,4.31,3070.11,84.44,68.66,57.41,10400,-42.59,1.47,1.03,0,4.31,84.44,-42.59,1.12,1.4,2.9,2.9,2.9,2.86,0,0,2000,2.9,6.23,194.37,94.74,41.27,40.48,3100,-59.52,1.88,1.4,0,6.23,94.74,-59.52,7.67
7.67,0.93,1,7.51,7.5,7.5,0,0,129600,7.67,4.45,3085.04,84.78,60.46,59.26,11200,-40.74,1.54,1,0,4.45,84.78,-40.74,1.12,1.4,2.9,2.9,2.9,2.86,0,0,2000,2.9,6.23,194.37,94.74,41.27,40.48,3100,-59.52,1.88,1.4,0,6.23,94.74,-59.52,7.7
7.7,0.88,2.51,7.65,7.4,7.53,0,0,142600,7.51,6.4,3327.39,88.33,67.28,85.19,13000,-14.81,1.33,1.98,0.46,6.4,88.33,-17.78,1.12,1.4,2.9,2.9,2.9,2.86,0,0,2000,2.9,6.23,194.37,94.74,41.27,40.48,3100,-59.52,1.88,1.4,0,6.23,94.74,-59.52,7.79
7.79,0.88,3.76,7.78,7.61,7.59,0,0,167800,7.74,8.21,3755.62,90.41,80.93,98.33,25200,-1.67,1.41,2.93,0.4,5.42,87.04,-2.22,1.12,1.12,2.9,2.9,2.8,2.87,0,0,2000,2.83,6.23,194.37,94.74,40.48,40.48,9400,-59.52,1.91,1.12,0,6.23,94.74,-59.52,7.84
7.84,0.9,2.9,7.74,7.6,7.64,0,0,135500,7.7,7.65,3589.56,85.71,89.38,84.62,32300,-15.38,1.67,1.94,0.24,3.2,76.09,-22.73,1.13,1.51,2.92,2.93,2.91,2.91,0,0,16500,2.92,6.96,294.37,95.24,42.06,45.24,14500,-54.76,2,1.51,0,6.96,95.24,-54.76,7.75
7.75,0.87,2.27,7.71,7.5,7.68,0,0,103100,7.66,7.23,3463.97,82.5,87.65,80,32400,-20,1.46,1.05,0.26,3.49,79.55,-29.55,1.34,17.45,3.48,3.48,2.88,3.02,0,0,23800,2.88,27.47,1694.37,98.7,61.9,100,7300,0,3.27,17.45,0,27.47,98.7,0,7.84
7.84,0.89,2.07,7.71,7.6,7.72,0.01,0,103100,7.6,7.23,3463.97,82.5,81.54,80,21600,-20,1.7,0.69,0.19,2.53,75.68,-29.55,1.53,-2.16,2.89,3.37,2.85,3.02,0,0,19600,3.37,5.86,982.3,55.88,55.52,21.33,4200,-78.67,4.27,-3.21,0.16,5.86,55.88,-80.82,7.84
7.84,0.91,3.49,7.84,7.6,7.76,0.03,0,114300,7.6,9.04,3652.82,84.95,86.67,100,11200,0,1.91,1.74,0.34,4.53,85.42,0,1.7,-2.83,2.86,2.92,2.85,3.01,0,0,15300,2.86,4.76,937.66,54.68,46.22,17.33,4300,-82.67,5.13,-3.98,-0.05,-1.72,47.93,-91.18,8.1
8.1,1.08,5.55,8.03,7.84,7.81,0.06,0,153500,7.84,11.68,4602.82,87.5,90.77,92.31,39200,-7.69,3.54,3.21,0.52,6.92,89.39,-10,1.88,-0.1,2.94,2.96,2.93,3.02,0,0,17700,2.93,7.69,1004.79,57.14,22.22,28,2400,-72,5.99,-1.48,0.04,1.38,51.56,-79.41,8.2
8.2,1.31,6.77,8.2,7.94,7.9,0.11,1.01,179300,7.95,14.05,5149.02,89.15,97.44,100,25800,0,5.49,4.34,0.55,7.19,89.86,0,2.05,0.22,2.95,2.95,2.95,3.02,0,0,17800,2.95,8.06,1005.13,57.43,24.89,29.33,100,-70.67,6.73,-1.38,0.05,1.72,51.94,-77.94,9.25
